Fold,Full_Accuracy,Full_Precision,Full_Recall,Full_F1,Full_AUC,Full_Epochs,PSO_Accuracy,PSO_Precision,PSO_Recall,PSO_F1,PSO_AUC,PSO_Epochs
1,0.9737,0.9737,0.9737,0.9736,0.9971,31,0.9649,0.9668,0.9649,0.9645,0.9951,45
2,0.9474,0.9488,0.9474,0.9468,0.9951,19,0.9386,0.9385,0.9386,0.9384,0.983,23
3,0.9825,0.9829,0.9825,0.9824,0.9871,59,0.9561,0.959,0.9561,0.9555,0.9821,58
4,1.0,1.0,1.0,1.0,1.0,49,0.9737,0.9737,0.9737,0.9736,0.999,27
5,0.9823,0.9828,0.9823,0.9822,0.999,22,0.9912,0.9913,0.9912,0.9911,0.999,31
