Iteration,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
1,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
2,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
3,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
4,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
5,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
6,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
7,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
8,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
9,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
10,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
11,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
12,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
13,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
14,1.0,0.9890388763628201,0.9889831016591579,0.9889734197426504,0.978021978021978
15,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
16,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
17,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
18,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
19,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
20,1.0,1.0,0.9889831016591579,0.9889734197426504,0.978021978021978
21,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
22,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
23,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
24,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
25,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
26,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
27,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
28,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
29,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
30,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
31,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
32,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
33,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
34,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
35,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
36,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
37,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
38,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
39,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
40,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
41,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
42,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
43,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
44,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
45,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
46,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
47,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
48,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
49,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
50,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
51,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
52,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
53,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
54,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
55,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
56,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
57,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
58,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
59,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
60,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
61,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
62,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
63,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
64,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
65,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
66,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
67,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
68,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
69,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
70,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
71,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
72,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
73,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
74,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
75,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
76,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
77,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
78,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
79,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
80,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
81,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
82,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
83,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
84,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
85,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
86,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
87,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
88,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
89,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
90,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
91,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
92,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
93,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
94,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
95,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
96,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
97,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
98,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
99,1.0,1.0,0.9889831016591579,0.9889734197426504,0.9890556537352364
