Iteration,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5
0,0.9343114680751224,0.9782572751322751,0.977928477928478,0.9448316214337078,0.9565511411665257
1,0.9669583903591698,0.9782572751322751,0.977928477928478,0.945260155344189,0.978021978021978
2,0.9669583903591698,0.9782572751322751,0.977928477928478,0.945260155344189,0.978021978021978
3,0.9669583903591698,0.9782572751322751,0.977928477928478,0.945260155344189,0.978021978021978
4,0.9669583903591698,0.9782572751322751,0.977928477928478,0.945260155344189,0.9889401683171823
5,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9889401683171823
6,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
7,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
8,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
9,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
10,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
11,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
12,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
13,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
14,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
15,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
16,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
17,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
18,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
19,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
20,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
21,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
22,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
23,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
24,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
25,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
26,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
27,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
28,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
29,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
30,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
31,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
32,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
33,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
34,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
35,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
36,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
37,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
38,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
39,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
40,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
41,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
42,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
43,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
44,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
45,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
46,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
47,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
48,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
49,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
50,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
51,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
52,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
53,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
54,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
55,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
56,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
57,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
58,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
59,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
60,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
61,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
62,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
63,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
64,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
65,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
66,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
67,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
68,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
69,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
70,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
71,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
72,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
73,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
74,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
75,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
76,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
77,0.9669583903591698,0.9890720658601309,0.977928477928478,0.945260155344189,0.9890767816228077
