Fold,N Features,Accuracy,Precision,Recall,F1-Score,AUC-ROC
1,3,0.9561,0.9565,0.9561,0.9562,0.9894
2,3,0.8947,0.8966,0.8947,0.8929,0.9677
3,3,0.9474,0.9488,0.9474,0.9468,0.9631
4,2,0.9386,0.939,0.9386,0.9387,0.9871
5,4,0.9735,0.9735,0.9735,0.9734,0.9955
