Fold,Full_Accuracy,Full_Precision,Full_Recall,Full_F1,Full_AUC,Full_Epochs,PSO_Accuracy,PSO_Precision,PSO_Recall,PSO_F1,PSO_AUC,PSO_Epochs
1,0.9474,0.9484,0.9474,0.9476,0.9833,13,0.8684,0.8914,0.8684,0.8608,0.9869,13
2,0.8947,0.8996,0.8947,0.8921,0.9499,18,0.9298,0.9297,0.9298,0.9295,0.9781,22
3,0.9123,0.9148,0.9123,0.9107,0.9742,13,0.9386,0.939,0.9386,0.9387,0.9769,30
4,0.8684,0.8692,0.8684,0.8687,0.9603,10,0.9474,0.9488,0.9474,0.9468,0.9934,29
5,0.9027,0.9082,0.9027,0.9036,0.9688,10,0.9469,0.9469,0.9469,0.9469,0.9889,32
